nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2014 The MathWorks, Inc.
                   R2014b (8.4.0.150421) 64-bit (glnxa64)
                             September 15, 2014

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
    ----------------------------------------------------
	Your MATLAB license will expire in 43 days.
	Please contact your system administrator or
	MathWorks to renew this license.
    ----------------------------------------------------
pca mode: 0, feature augment mode: 0, 1th cross validation
Accuracy = 0% (0/112) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/105) (classification)
Accuracy = 0% (0/112) (classification)
Accuracy = 0% (0/115) (classification)
Accuracy = 0% (0/119) (classification)
Accuracy = 0% (0/113) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/117) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/112) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/113) (classification)
Accuracy = 0% (0/115) (classification)
Accuracy = 0% (0/106) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/115) (classification)
Accuracy = 0% (0/114) (classification)
Accuracy = 0% (0/108) (classification)
Accuracy = 0% (0/107) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/109) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/109) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/113) (classification)
Accuracy = 0% (0/104) (classification)
Accuracy = 0% (0/109) (classification)
Accuracy = 0% (0/102) (classification)
Accuracy = 0% (0/108) (classification)
Accuracy = 0% (0/108) (classification)
Accuracy = 0% (0/106) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/113) (classification)
Accuracy = 0% (0/112) (classification)
Accuracy = 0% (0/83) (classification)
Accuracy = 0% (0/86) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/91) (classification)
Accuracy = 0% (0/97) (classification)
Accuracy = 0% (0/88) (classification)
Accuracy = 0% (0/81) (classification)
Accuracy = 0% (0/88) (classification)
Accuracy = 0% (0/84) (classification)
Accuracy = 0% (0/87) (classification)
Accuracy = 0% (0/92) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/84) (classification)
Accuracy = 0% (0/89) (classification)
Accuracy = 0% (0/87) (classification)
Accuracy = 0% (0/88) (classification)
Accuracy = 0% (0/91) (classification)
Accuracy = 0% (0/87) (classification)
Accuracy = 0% (0/88) (classification)
Accuracy = 0% (0/98) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/83) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/98) (classification)
Accuracy = 0% (0/80) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/90) (classification)
Accuracy = 0% (0/98) (classification)
Accuracy = 0% (0/91) (classification)
Accuracy = 0% (0/79) (classification)
Accuracy = 0% (0/74) (classification)
Accuracy = 0% (0/74) (classification)
Accuracy = 0% (0/69) (classification)
Accuracy = 0% (0/79) (classification)
Accuracy = 0% (0/78) (classification)
Accuracy = 0% (0/102) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/103) (classification)
Accuracy = 0% (0/106) (classification)
Accuracy = 0% (0/102) (classification)
Accuracy = 0% (0/107) (classification)
Accuracy = 0% (0/108) (classification)
Accuracy = 0% (0/104) (classification)
Accuracy = 0% (0/103) (classification)
Accuracy = 0% (0/104) (classification)
Accuracy = 0% (0/108) (classification)
Accuracy = 0% (0/97) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/94) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/93) (classification)
Accuracy = 0% (0/106) (classification)
Accuracy = 0% (0/97) (classification)
Accuracy = 0% (0/105) (classification)
Accuracy = 0% (0/103) (classification)
Accuracy = 0% (0/104) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/80) (classification)
Accuracy = 0% (0/82) (classification)
Accuracy = 0% (0/80) (classification)
Accuracy = 0% (0/85) (classification)
Accuracy = 0% (0/82) (classification)
Accuracy = 0% (0/86) (classification)
Accuracy = 0% (0/78) (classification)
Accuracy = 0% (0/88) (classification)
Accuracy = 0% (0/98) (classification)
Accuracy = 0% (0/87) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/88) (classification)
Accuracy = 0% (0/81) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/90) (classification)
Accuracy = 0% (0/98) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/92) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/87) (classification)
Accuracy = 0% (0/89) (classification)
Accuracy = 0% (0/89) (classification)
Accuracy = 0% (0/88) (classification)
Accuracy = 0% (0/93) (classification)
Accuracy = 0% (0/84) (classification)
Accuracy = 0% (0/93) (classification)
Accuracy = 0% (0/81) (classification)
Accuracy = 0% (0/98) (classification)
Accuracy = 0% (0/91) (classification)
Accuracy = 0% (0/109) (classification)
Accuracy = 0% (0/92) (classification)
Accuracy = 0% (0/90) (classification)
Accuracy = 0% (0/85) (classification)
Accuracy = 0% (0/94) (classification)
Accuracy = 0% (0/86) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/102) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/94) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/94) (classification)
Accuracy = 0% (0/107) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/99) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/106) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/98) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/99) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/97) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/93) (classification)
Accuracy = 0% (0/86) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/89) (classification)
Accuracy = 0% (0/98) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/98) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/90) (classification)
Accuracy = 0% (0/92) (classification)
Accuracy = 0% (0/97) (classification)
Accuracy = 0% (0/89) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/94) (classification)
Accuracy = 0% (0/94) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/92) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/86) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/85) (classification)
Accuracy = 0% (0/89) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/105) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/98) (classification)
Accuracy = 0% (0/93) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/84) (classification)
Accuracy = 0% (0/91) (classification)
Accuracy = 0% (0/97) (classification)
Accuracy = 0% (0/85) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/99) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/93) (classification)
Accuracy = 0% (0/98) (classification)
Accuracy = 0% (0/88) (classification)
Accuracy = 0% (0/87) (classification)
Accuracy = 0% (0/91) (classification)
Accuracy = 0% (0/98) (classification)
Accuracy = 0% (0/97) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/93) (classification)
Accuracy = 0% (0/93) (classification)
Accuracy = 0% (0/91) (classification)
Accuracy = 0% (0/93) (classification)
Accuracy = 0% (0/88) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/99) (classification)
Accuracy = 0% (0/93) (classification)
Accuracy = 0% (0/99) (classification)
Accuracy = 0% (0/94) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/87) (classification)
Accuracy = 0% (0/98) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/103) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/112) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/108) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/111) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/111) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/114) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/110) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/115) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/111) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/112) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/111) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/110) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/113) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/72) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/99) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/104) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/89) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/85) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/81) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/101) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/99) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/95) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/96) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/90) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/95) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/105) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/115) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/100) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/110) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/95) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/100) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/101) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/69) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/73) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/77) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/88) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/90) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/111) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/112) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/110) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/111) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/113) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/111) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/92) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/94) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/99) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/91) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/97) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/88) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/99) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/91) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/91) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/100) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/94) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/98) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/89) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/96) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/96) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/88) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/90) (classification)
Model supports probability estimates, but disabled in predicton.
Accuracy = 0% (0/90) (classification)
Video-wise prediction: 39 of 60 samples are correctly classified, accuracy is: 0.650000
pca mode: 0, feature augment mode: 1, 4th cross validation
Accuracy = 0% (0/112) (classification)
Accuracy = 0% (0/108) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/114) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/109) (classification)
Accuracy = 0% (0/108) (classification)
Accuracy = 0% (0/105) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/113) (classification)
Accuracy = 0% (0/102) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/115) (classification)
Accuracy = 0% (0/108) (classification)
Accuracy = 0% (0/114) (classification)
Accuracy = 0% (0/112) (classification)
Accuracy = 0% (0/109) (classification)
Accuracy = 0% (0/92) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/94) (classification)
Accuracy = 0% (0/97) (classification)
Accuracy = 0% (0/98) (classification)
Accuracy = 0% (0/83) (classification)
Accuracy = 0% (0/115) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/112) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/113) (classification)
Accuracy = 0% (0/107) (classification)
Accuracy = 0% (0/104) (classification)
Accuracy = 0% (0/104) (classification)
Accuracy = 0% (0/108) (classification)
Accuracy = 0% (0/104) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/107) (classification)
Accuracy = 0% (0/106) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/114) (classification)
Accuracy = 0% (0/104) (classification)
Accuracy = 0% (0/107) (classification)
Accuracy = 0% (0/108) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/104) (classification)
Accuracy = 0% (0/104) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/99) (classification)
Accuracy = 0% (0/109) (classification)
Accuracy = 0% (0/108) (classification)
Accuracy = 0% (0/106) (classification)
Accuracy = 0% (0/112) (classification)
Accuracy = 0% (0/109) (classification)
Accuracy = 0% (0/102) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/107) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/99) (classification)
Accuracy = 0% (0/119) (classification)
Accuracy = 0% (0/112) (classification)
Accuracy = 0% (0/112) (classification)
Accuracy = 0% (0/106) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/109) (classification)
Accuracy = 0% (0/106) (classification)
Accuracy = 0% (0/106) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/108) (classification)
Accuracy = 0% (0/109) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/112) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/112) (classification)
Accuracy = 0% (0/108) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/114) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/104) (classification)
Accuracy = 0% (0/112) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/103) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/92) (classification)
Accuracy = 0% (0/94) (classification)
Accuracy = 0% (0/85) (classification)
Accuracy = 0% (0/99) (classification)
Accuracy = 0% (0/92) (classification)
Accuracy = 0% (0/72) (classification)
Accuracy = 0% (0/99) (classification)
Accuracy = 0% (0/104) (classification)
Accuracy = 0% (0/89) (classification)
Accuracy = 0% (0/85) (classification)
Accuracy = 0% (0/81) (classification)
Accuracy = 0% (0/128) (classification)
Accuracy = 0% (0/104) (classification)
Accuracy = 0% (0/97) (classification)
Accuracy = 0% (0/98) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/94) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/108) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/113) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/93) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/98) (classification)
Accuracy = 0% (0/93) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/91) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/109) (classification)
Accuracy = 0% (0/107) (classification)
Accuracy = 0% (0/108) (classification)
Accuracy = 0% (0/105) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/112) (classification)
Accuracy = 0% (0/107) (classification)
Accuracy = 0% (0/105) (classification)
Accuracy = 0% (0/106) (classification)
Accuracy = 0% (0/106) (classification)
Accuracy = 0% (0/87) (classification)
Accuracy = 0% (0/83) (classification)
Accuracy = 0% (0/94) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/91) (classification)
Accuracy = 0% (0/86) (classification)
Accuracy = 0% (0/104) (classification)
Accuracy = 0% (0/103) (classification)
Accuracy = 0% (0/107) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/103) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/107) (classification)
Accuracy = 0% (0/105) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/105) (classification)
Accuracy = 0% (0/86) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/105) (classification)
Accuracy = 0% (0/108) (classification)
Accuracy = 0% (0/109) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/104) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/108) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/114) (classification)
Accuracy = 0% (0/135) (classification)
Accuracy = 0% (0/142) (classification)
Accuracy = 0% (0/126) (classification)
Accuracy = 0% (0/103) (classification)
Accuracy = 0% (0/105) (classification)
Accuracy = 0% (0/108) (classification)
Accuracy = 0% (0/134) (classification)
Accuracy = 0% (0/99) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/88) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/103) (classification)
Accuracy = 0% (0/90) (classification)
Accuracy = 0% (0/89) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/90) (classification)
Accuracy = 0% (0/99) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/99) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/90) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/109) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/97) (classification)
Accuracy = 0% (0/97) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/104) (classification)
Accuracy = 0% (0/103) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/105) (classification)
Accuracy = 0% (0/103) (classification)
Accuracy = 0% (0/105) (classification)
Accuracy = 0% (0/106) (classification)
Accuracy = 0% (0/106) (classification)
Accuracy = 0% (0/105) (classification)
Accuracy = 0% (0/108) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/106) (classification)
Accuracy = 0% (0/102) (classification)
Accuracy = 0% (0/104) (classification)
Accuracy = 0% (0/107) (classification)
Accuracy = 0% (0/109) (classification)
Accuracy = 0% (0/105) (classification)
Accuracy = 0% (0/115) (classification)
Accuracy = 0% (0/104) (classification)
Accuracy = 0% (0/88) (classification)
Accuracy = 0% (0/114) (classification)
Accuracy = 0% (0/79) (classification)
Accuracy = 0% (0/87) (classification)
Accuracy = 0% (0/89) (classification)
Accuracy = 0% (0/74) (classification)
Accuracy = 0% (0/104) (classification)
Accuracy = 0% (0/98) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/98) (classification)
Accuracy = 0% (0/89) (classification)
Accuracy = 0% (0/105) (classification)
Accuracy = 0% (0/115) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/97) (classification)
Accuracy = 0% (0/104) (classification)
Accuracy = 0% (0/102) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/97) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/103) (classification)
Accuracy = 0% (0/97) (classification)
Accuracy = 0% (0/99) (classification)
Accuracy = 0% (0/102) (classification)
Accuracy = 0% (0/84) (classification)
Accuracy = 0% (0/99) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/103) (classification)
Accuracy = 0% (0/105) (classification)
Accuracy = 0% (0/108) (classification)
Accuracy = 0% (0/90) (classification)
Accuracy = 0% (0/89) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/90) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/94) (classification)
Accuracy = 0% (0/94) (classification)
Accuracy = 0% (0/97) (classification)
Accuracy = 0% (0/97) (classification)
Accuracy = 0% (0/97) (classification)
Accuracy = 0% (0/104) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/99) (classification)
Accuracy = 0% (0/98) (classification)
Accuracy = 0% (0/97) (classification)
Accuracy = 0% (0/98) (classification)
Accuracy = 0% (0/97) (classification)
Accuracy = 0% (0/106) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/98) (classification)
Accuracy = 0% (0/100) (classification)
Accuracy = 0% (0/99) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/98) (classification)
Accuracy = 0% (0/99) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/92) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/93) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/92) (classification)
Accuracy = 0% (0/93) (classification)
Accuracy = 0% (0/98) (classification)
Accuracy = 0% (0/92) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/96) (classification)
Accuracy = 0% (0/97) (classification)
Accuracy = 0% (0/93) (classification)
Accuracy = 0% (0/94) (classification)
Accuracy = 0% (0/87) (classification)
Accuracy = 0% (0/95) (classification)
Accuracy = 0% (0/94) (classification)
Accuracy = 0% (0/94) (classification)
Accuracy = 0% (0/119) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/109) (classification)
Accuracy = 0% (0/113) (classification)
Accuracy = 0% (0/112) (classification)
Accuracy = 0% (0/109) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/69) (classification)
Accuracy = 0% (0/73) (classification)
Accuracy = 0% (0/77) (classification)
Accuracy = 0% (0/88) (classification)
Accuracy = 0% (0/90) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/112) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/113) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/114) (classification)
Accuracy = 0% (0/112) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/105) (classification)
Accuracy = 0% (0/112) (classification)
Accuracy = 0% (0/115) (classification)
Accuracy = 0% (0/119) (classification)
Accuracy = 0% (0/113) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/117) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/112) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/113) (classification)
Accuracy = 0% (0/115) (classification)
Accuracy = 0% (0/106) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/115) (classification)
Accuracy = 0% (0/114) (classification)
Accuracy = 0% (0/108) (classification)
Accuracy = 0% (0/107) (classification)
Accuracy = 0% (0/101) (classification)
Accuracy = 0% (0/109) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/110) (classification)
Accuracy = 0% (0/109) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/113) (classification)
Accuracy = 0% (0/104) (classification)
Accuracy = 0% (0/109) (classification)
Accuracy = 0% (0/102) (classification)
Accuracy = 0% (0/108) (classification)
Accuracy = 0% (0/108) (classification)
Accuracy = 0% (0/106) (classification)
Accuracy = 0% (0/111) (classification)
Accuracy = 0% (0/113) (classification)
Accuracy = 0% (0/112) (classification)
Accuracy = 0% (0/92) (classification)
Accuracy = 0% (0/94) (classification)
Accuracy = 0% (0/99) (classification)
Accuracy = 0% (0/91) (classification)
Accuracy = 0% (0/97) (classification)
Accuracy = 0% (0/88) (classification)
